Geneid	Chr	Start	End	Strand	Length	data/BAM_sorted/A-B-1_sorted.bam	data/BAM_sorted/A-B-2_sorted.bam	data/BAM_sorted/A-F-1_sorted.bam	data/BAM_sorted/A-F-2_sorted.bam	data/BAM_sorted/A-R-1_sorted.bam	data/BAM_sorted/A-R-2_sorted.bam	data/BAM_sorted/M-B-1_sorted.bam	data/BAM_sorted/M-B-2_sorted.bam	data/BAM_sorted/M-F-1_sorted.bam	data/BAM_sorted/M-F-2_sorted.bam	data/BAM_sorted/M-R-1_sorted.bam	data/BAM_sorted/M-R-2_sorted.bam	data/BAM_sorted/P-1_sorted.bam	data/BAM_sorted/P-2_sorted.bam
BW25113_RS25530	NZ_CP009273.1	1196528	1196836	-	309	13	11	15	13	16	13	15	8	19	33	12	15	32	21
BW25113_RS23630	NZ_CP009273.1	1196953	1197291	+	339	89	133	93	89	108	100	106	86	93	74	79	99	251	243
BW25113_RS05940	NZ_CP009273.1	1197235	1197540	-	306	21	58	21	37	24	32	19	19	12	18	11	29	77	65
BW25113_RS05945	NZ_CP009273.1	1197718	1198389	-	672	212	330	226	287	250	333	176	148	158	238	160	159	428	422
BW25113_RS05950	NZ_CP009273.1	1198480	1198677	+	198	9	11	20	20	11	10	11	11	9	7	9	12	22	20
BW25113_RS05955	NZ_CP009273.1	1198724	1199278	+	555	33	62	36	39	29	52	33	29	25	37	19	26	78	81
BW25113_RS23635	NZ_CP009273.1	1199457	1199633	+	177	0	0	0	1	2	1	0	1	0	2	0	0	1	2
BW25113_RS26105	NZ_CP009273.1	1199626	1199868	+	243	10	10	8	11	3	3	4	4	8	8	7	8	6	18
BW25113_RS05965	NZ_CP009273.1	1199857	1200990	+	1134	14	24	24	22	15	18	24	21	11	28	20	22	33	52
BW25113_RS05970	NZ_CP009273.1	1201005	1201184	+	180	2	3	5	5	1	2	2	1	1	5	1	1	8	3
BW25113_RS05975	NZ_CP009273.1	1201187	1201591	+	405	9	5	5	7	13	6	5	1	9	8	0	4	4	18
BW25113_RS05980	NZ_CP009273.1	1201593	1202375	+	783	7	17	6	18	4	9	5	7	4	12	7	10	10	16
BW25113_RS05985	NZ_CP009273.1	1202369	1202950	+	582	8	0	4	7	8	4	7	7	3	11	2	3	10	7
BW25113_RS05990	NZ_CP009273.1	1202957	1203583	+	627	0	0	0	1	0	0	0	2	2	3	1	0	1	4
BW25113_RS05995	NZ_CP009273.1	1203588	1203998	+	411	3	3	1	4	4	2	0	0	2	3	5	5	14	11
BW25113_RS06000	NZ_CP009273.1	1203976	1204575	-	600	7	5	4	5	2	4	4	3	3	12	3	4	8	18
BW25113_RS06005	NZ_CP009273.1	1204578	1205114	-	537	4	2	1	0	0	3	1	0	1	2	0	1	1	3
BW25113_RS06010	NZ_CP009273.1	1205141	1205692	+	552	3	5	4	4	3	2	4	5	4	3	4	4	5	7
BW25113_RS06015	NZ_CP009273.1	1205802	1206632	+	831	93	116	70	128	121	108	103	87	104	97	84	114	165	139
BW25113_RS23640	NZ_CP009273.1	1206866	1207030	+	165	9	10	5	6	5	4	4	1	5	0	1	4	10	9
BW25113_RS06020	NZ_CP009273.1	1207139	1207459	-	321	13	13	12	18	19	34	1	2	4	5	3	1	6	4
BW25113_RS25985	NZ_CP009273.1	1207719	1207760	-	42	2	4	1	0	6	5	0	0	0	1	1	1	4	0
BW25113_RS25535	NZ_CP009273.1	1207999	1208106	-	108	11	7	5	11	8	6	0	0	1	5	2	2	3	9
BW25113_RS06030	NZ_CP009273.1	1208162	1208563	-	402	65	57	42	53	55	63	8	19	16	8	15	17	83	70
BW25113_RS06035	NZ_CP009273.1	1208787	1209515	-	729	354	433	317	317	339	373	248	264	287	334	197	311	753	822
BW25113_RS06040	NZ_CP009273.1	1209723	1210931	-	1209	37	43	36	44	57	34	28	28	29	41	14	33	125	119
BW25113_RS06045	NZ_CP009273.1	1211245	1211478	+	234	1	5	7	5	7	3	1	7	1	5	2	6	17	16
BW25113_RS06050	NZ_CP009273.1	1211524	1211793	+	270	0	2	0	0	2	0	1	1	1	1	3	2	3	5
BW25113_RS06055	NZ_CP009273.1	1211825	1212088	+	264	2	0	0	1	1	0	0	0	0	2	0	1	8	15
BW25113_RS06060	NZ_CP009273.1	1212204	1212449	+	246	2	0	0	3	2	1	0	1	1	1	0	1	19	8
BW25113_RS06065	NZ_CP009273.1	1212784	1214304	+	1521	7	11	6	14	9	12	11	10	11	6	2	12	38	25
BW25113_RS06070	NZ_CP009273.1	1214439	1214654	+	216	10	20	15	14	14	13	8	10	14	11	9	9	15	15
BW25113_RS25990	NZ_CP009273.1	1215462	1217701	+	2240	109	134	82	112	81	104	68	57	79	105	67	49	171	133
BW25113_RS06090	NZ_CP009273.1	1217764	1218096	-	333	588	875	473	728	369	495	364	381	413	765	357	335	563	531
BW25113_RS06095	NZ_CP009273.1	1218103	1218444	-	342	299	421	225	371	163	246	180	188	181	418	164	145	258	279
BW25113_RS06100	NZ_CP009273.1	1218449	1218619	-	171	2	5	2	2	2	1	1	1	2	1	0	0	1	4
BW25113_RS23645	NZ_CP009273.1	1218720	1218902	+	183	3	0	1	1	1	1	4	4	3	0	2	2	6	4
BW25113_RS25540	NZ_CP009273.1	1218866	1218982	+	117	0	0	0	0	3	0	0	0	0	1	0	0	0	2
BW25113_RS06105	NZ_CP009273.1	1219020	1219360	+	341	0	2	5	2	0	4	1	0	2	3	0	3	2	5
BW25113_RS06110	NZ_CP009273.1	1219738	1220001	-	264	442	878	440	688	446	599	981	844	845	1198	823	1232	1038	960
BW25113_RS06115	NZ_CP009273.1	1220008	1220817	-	810	3078	4212	2677	3545	2957	3701	6229	5463	5383	8481	5268	7510	5824	5714
BW25113_RS06120	NZ_CP009273.1	1220844	1221536	-	693	2126	2773	1728	2290	1954	2342	3225	2603	2827	4453	2618	3354	3559	3376
BW25113_RS06125	NZ_CP009273.1	1222056	1222421	+	366	68	99	55	72	82	87	62	56	54	106	70	77	98	97
BW25113_RS06130	NZ_CP009273.1	1222530	1222928	-	399	130	137	95	114	133	143	113	118	93	180	98	150	385	354
BW25113_RS06140	NZ_CP009273.1	1223170	1223460	+	291	454	528	411	427	411	508	440	443	405	543	404	520	652	601
BW25113_RS06145	NZ_CP009273.1	1223535	1224191	+	657	474	612	377	553	460	600	561	496	520	796	486	642	723	749
BW25113_RS06150	NZ_CP009273.1	1224286	1224729	+	444	265	395	218	302	240	315	200	182	228	300	180	200	353	431
BW25113_RS06155	NZ_CP009273.1	1224942	1225850	-	909	12	18	23	19	8	14	14	17	24	11	8	21	85	81
BW25113_RS06160	NZ_CP009273.1	1226223	1226639	+	417	37	49	15	54	45	44	25	33	44	52	22	40	58	50
BW25113_RS06165	NZ_CP009273.1	1226642	1227907	+	1266	104	165	91	111	97	157	79	72	73	113	83	75	130	160
BW25113_RS06170	NZ_CP009273.1	1227959	1228486	-	528	840	1335	692	1137	777	1035	535	434	491	740	409	495	1260	1108
BW25113_RS06175	NZ_CP009273.1	1228635	1230173	-	1539	1878	2818	1744	2512	2175	2811	1384	1119	1239	2263	1243	1344	2836	2911
BW25113_RS06180	NZ_CP009273.1	1230394	1231110	+	717	1111	1748	1035	1442	1160	1595	1758	1341	1548	2811	1467	1503	1740	1731
BW25113_RS06185	NZ_CP009273.1	1231168	1232697	-	1530	55	66	56	68	61	70	216	182	139	174	98	240	676	601
BW25113_RS06190	NZ_CP009273.1	1233027	1234322	+	1296	65	96	69	100	102	103	853	824	777	923	757	1348	1982	1817
BW25113_RS06195	NZ_CP009273.1	1234335	1235402	+	1068	64	76	68	94	84	88	365	314	260	397	278	575	1039	985
BW25113_RS06200	NZ_CP009273.1	1235794	1237527	-	1734	719	1022	721	922	773	1014	805	676	830	1260	702	861	2294	2119
BW25113_RS06205	NZ_CP009273.1	1237625	1238536	-	912	393	525	374	463	439	525	468	383	386	578	332	498	751	636
BW25113_RS06210	NZ_CP009273.1	1238636	1239244	+	609	903	1311	762	1155	853	992	530	475	614	1086	574	574	1502	1563
BW25113_RS06215	NZ_CP009273.1	1239252	1239983	-	732	80	78	52	71	66	67	23	28	27	41	17	23	2575	2213
BW25113_RS06220	NZ_CP009273.1	1240184	1240435	+	252	7	5	3	13	7	3	13	4	10	7	6	16	32	27
BW25113_RS06225	NZ_CP009273.1	1240616	1241053	+	438	10	14	12	9	8	10	14	12	9	20	11	9	36	27
BW25113_RS06230	NZ_CP009273.1	1241138	1242832	-	1695	295	493	258	359	230	312	481	635	488	732	339	595	653	569
BW25113_RS06235	NZ_CP009273.1	1243155	1244570	-	1416	3100	5548	2225	3484	2490	3597	4312	5519	5389	8650	4853	6537	1386	1344
BW25113_RS06240	NZ_CP009273.1	1244584	1245213	-	630	1739	2742	1202	1842	1338	1925	2398	2937	2958	5323	2650	3646	759	701
BW25113_RS06245	NZ_CP009273.1	1245227	1246294	-	1068	2383	3989	1685	2537	1843	2593	3320	4285	4465	8093	3889	5219	1108	968
BW25113_RS06250	NZ_CP009273.1	1246522	1248438	+	1917	272	350	466	649	597	683	265	257	612	884	550	783	672	641
BW25113_RS06255	NZ_CP009273.1	1248544	1251408	-	2865	364	519	315	423	373	450	222	151	183	333	147	195	545	571
BW25113_RS06265	NZ_CP009273.1	1252180	1253268	-	1089	4808	7072	4300	5710	4985	6486	1733	1286	1581	3145	1648	1206	4377	4246
BW25113_RS06270	NZ_CP009273.1	1253388	1253969	-	582	1108	1624	926	1363	1049	1305	462	354	471	704	458	342	990	1021
BW25113_RS06275	NZ_CP009273.1	1254247	1254522	+	276	104	142	80	133	99	123	2584	2382	2170	3130	2136	2484	1734	1427
BW25113_RS06280	NZ_CP009273.1	1254583	1256232	-	1650	1514	2408	1358	2162	1772	1993	439	424	549	1455	416	289	1452	1372
BW25113_RS06285	NZ_CP009273.1	1256387	1257331	-	945	12950	18598	12051	15436	12861	16041	5346	4339	5645	12038	4722	2905	11479	11052
BW25113_RS06290	NZ_CP009273.1	1257485	1258333	-	849	4829	7077	4110	5678	4792	6275	2705	2457	2726	5016	2562	2306	5593	5236
BW25113_RS06295	NZ_CP009273.1	1258336	1258956	-	621	1146	1700	1079	1423	1463	1810	1116	985	1037	1733	1051	1213	1844	1654
BW25113_RS06300	NZ_CP009273.1	1259170	1260423	+	1254	3104	3755	2434	3506	2839	3240	1774	1515	1917	2765	1285	1375	3841	3966
BW25113_RS06305	NZ_CP009273.1	1260468	1261547	+	1080	2700	3774	2736	3503	2679	3694	926	666	869	1424	639	559	2617	2644
BW25113_RS06310	NZ_CP009273.1	1261550	1262380	+	831	1169	1804	1152	1529	1234	1538	407	280	364	622	278	228	904	1016
BW25113_RS06315	NZ_CP009273.1	1262380	1262769	+	390	324	509	355	459	354	492	98	87	90	154	59	56	213	255
BW25113_RS06320	NZ_CP009273.1	1262776	1263582	+	807	1703	2491	1488	2229	1756	2198	859	680	839	1131	626	696	1974	2062
BW25113_RS06325	NZ_CP009273.1	1263621	1264472	+	852	3607	5057	3281	4216	3429	4489	2659	1890	2579	4477	2294	2366	5318	5040
BW25113_RS06330	NZ_CP009273.1	1264627	1264731	-	105	373	474	277	386	366	439	195	150	193	304	150	151	433	391
BW25113_RS06335	NZ_CP009273.1	1265162	1265266	-	105	32	33	19	23	24	17	11	8	11	18	13	4	23	21
BW25113_RS06340	NZ_CP009273.1	1265697	1265801	-	105	47	56	42	34	38	34	25	27	20	39	36	21	53	51
BW25113_RS06345	NZ_CP009273.1	1266208	1267305	-	1098	103	136	93	131	142	159	58	58	51	85	28	45	214	253
BW25113_RS06350	NZ_CP009273.1	1267575	1267802	+	228	42	51	20	45	36	45	61	67	41	48	41	64	209	176
BW25113_RS06355	NZ_CP009273.1	1267963	1268655	+	693	221	329	174	318	157	263	285	228	276	303	198	266	456	505
BW25113_RS06360	NZ_CP009273.1	1268705	1269055	-	351	246	342	186	237	219	268	1082	1041	1043	1546	939	1482	840	751
BW25113_RS06365	NZ_CP009273.1	1269240	1270631	+	1392	204	330	187	261	219	252	249	227	238	341	210	249	299	330
BW25113_RS06370	NZ_CP009273.1	1270638	1271285	-	648	858	1059	649	885	606	689	768	707	587	1239	661	817	1184	1152
BW25113_RS06375	NZ_CP009273.1	1271281	1273074	-	1794	706	1042	551	806	458	603	504	435	498	864	400	562	1050	961
BW25113_RS06385	NZ_CP009273.1	1273413	1274801	+	1389	2284	4257	1823	2853	1055	1679	3444	3555	3201	6680	4038	4754	3526	3118
BW25113_RS06390	NZ_CP009273.1	1275320	1279060	+	3741	4250	7988	2751	4314	1514	2172	11723	16072	13634	23767	12048	28377	17989	15278
BW25113_RS06395	NZ_CP009273.1	1279060	1280595	+	1536	1505	2754	1020	1532	577	801	3100	4840	3868	6849	3221	7681	7752	6945
BW25113_RS06400	NZ_CP009273.1	1280595	1281302	+	708	609	945	372	575	202	263	906	1167	1059	1910	845	1840	2523	2481
BW25113_RS06405	NZ_CP009273.1	1281305	1281979	+	675	362	691	254	366	134	199	583	811	667	1527	545	969	1753	1683
BW25113_RS06425	NZ_CP009273.1	1283241	1284080	-	840	1472	1997	1383	1824	1461	1858	932	911	1006	1482	919	1077	2049	1874
BW25113_RS06430	NZ_CP009273.1	1284133	1284588	-	456	791	1112	727	957	863	1101	523	461	544	747	467	510	1100	873
BW25113_RS06435	NZ_CP009273.1	1284701	1285603	+	903	660	975	609	851	597	870	852	776	821	1247	615	874	1665	1554
BW25113_RS06440	NZ_CP009273.1	1285698	1286708	+	1011	576	835	474	664	534	736	659	553	574	923	431	611	1291	1288
BW25113_RS06445	NZ_CP009273.1	1286913	1287818	+	906	3505	5799	3153	5037	3656	5225	3125	3185	3101	5711	3016	3359	5376	4774
BW25113_RS06450	NZ_CP009273.1	1287968	1288378	-	411	8388	12056	7102	9553	9301	11803	12232	11907	10703	19268	9755	12818	24212	23324
BW25113_RS06455	NZ_CP009273.1	1288983	1289597	+	615	456	677	415	514	519	637	215	181	185	286	216	128	678	685
BW25113_RS06460	NZ_CP009273.1	1289885	1290778	-	894	365	599	354	493	313	452	147	121	139	236	84	129	385	434
BW25113_RS06470	NZ_CP009273.1	1290905	1293577	-	2673	155698	240340	134405	188242	167531	234621	180451	184986	167897	367322	165755	233717	222847	204228
BW25113_RS26110	NZ_CP009273.1	1293970	1294020	+	51	16	25	14	22	11	23	9	15	8	14	5	12	34	29
BW25113_RS06475	NZ_CP009273.1	1294054	1294698	+	645	322	442	243	382	254	392	133	120	104	195	131	107	496	453
BW25113_RS25865	NZ_CP009273.1	1294862	1295155	-	294	2421	3476	2067	3044	2467	2896	1219	1176	1212	1255	863	1415	5528	5302
BW25113_RS06480	NZ_CP009273.1	1295439	1297067	+	1629	11007	15086	10165	12841	10905	13644	6920	5803	5944	8100	4975	7369	23324	22474
BW25113_RS06485	NZ_CP009273.1	1297156	1298073	+	918	2296	3541	2157	3066	2371	3264	963	808	802	1111	755	903	4036	4054
BW25113_RS06490	NZ_CP009273.1	1298091	1298996	+	906	3360	4825	3353	4715	3609	4808	1353	1095	1265	2407	1042	1003	4452	4611
BW25113_RS06495	NZ_CP009273.1	1299011	1300021	+	1011	4877	7035	4701	6391	5320	6649	2254	1995	2056	4817	2003	1395	5832	5714
BW25113_RS06500	NZ_CP009273.1	1300021	1301022	+	1002	4445	6522	4424	6059	4916	6495	2360	2001	2244	5071	2432	1378	5103	5011
BW25113_RS06505	NZ_CP009273.1	1301081	1301407	-	327	580	700	463	611	515	578	417	365	387	636	286	297	782	740
BW25113_RS06510	NZ_CP009273.1	1301445	1302902	-	1458	1212	1556	967	1225	669	879	1399	1205	1318	1938	739	975	2421	2212
BW25113_RS25550	NZ_CP009273.1	1303045	1303215	+	171	85	135	66	91	75	89	71	70	74	102	40	51	177	197
BW25113_RS06520	NZ_CP009273.1	1303276	1304526	-	1251	575	829	527	587	389	454	772	733	805	934	664	947	1291	1341
BW25113_RS06525	NZ_CP009273.1	1304829	1305122	-	294	167	233	153	178	135	252	592	569	551	715	485	678	487	463
BW25113_RS06530	NZ_CP009273.1	1305346	1306062	+	717	228	302	179	213	256	232	266	231	296	354	188	221	388	376
BW25113_RS06535	NZ_CP009273.1	1306108	1306503	-	396	42	89	49	67	50	82	24	13	14	25	16	5	59	59
BW25113_RS06540	NZ_CP009273.1	1306611	1307147	-	537	774	966	644	869	695	834	453	339	362	748	365	328	946	896
BW25113_RS06545	NZ_CP009273.1	1307180	1307920	-	741	1078	1550	944	1437	1055	1340	639	540	619	1075	527	541	1572	1592
BW25113_RS25555	NZ_CP009273.1	1307951	1308037	-	87	2	1	2	2	0	1	2	0	4	0	0	5	2	8
BW25113_RS06550	NZ_CP009273.1	1308277	1308912	+	636	3332	2921	2555	3233	3356	3442	23767	17531	17587	13453	15137	33722	11971	12194
BW25113_RS06555	NZ_CP009273.1	1308978	1309481	-	504	48	26	46	58	65	45	970	641	669	540	730	1101	177	223
BW25113_RS06560	NZ_CP009273.1	1309530	1310027	-	498	3	2	4	0	5	0	20	28	11	14	18	17	21	31
BW25113_RS06565	NZ_CP009273.1	1310116	1310292	-	177	0	0	0	0	0	0	0	2	2	1	0	1	10	3
BW25113_RS06570	NZ_CP009273.1	1310676	1311479	-	804	138	252	139	231	206	189	220	353	173	331	168	236	373	418
BW25113_RS06575	NZ_CP009273.1	1311482	1312672	-	1191	210	340	222	288	267	332	291	500	248	506	265	338	586	548
BW25113_RS06580	NZ_CP009273.1	1312687	1314045	-	1359	77	150	106	111	110	130	152	273	131	182	132	157	302	247
BW25113_RS06585	NZ_CP009273.1	1314049	1315641	-	1593	76	94	68	79	92	71	57	208	33	102	29	52	159	124
BW25113_RS06590	NZ_CP009273.1	1315644	1317203	-	1560	53	81	61	67	71	91	34	120	19	66	15	28	95	93
BW25113_RS23700	NZ_CP009273.1	1317298	1317339	-	42	3	3	1	2	4	1	2	1	1	1	1	0	3	1
BW25113_RS06595	NZ_CP009273.1	1317477	1318355	+	879	652	840	533	692	536	710	280	203	269	535	246	248	736	700
BW25113_RS06600	NZ_CP009273.1	1318355	1318972	+	618	802	1110	715	1017	852	889	570	566	527	1050	390	560	1160	1147
BW25113_RS06605	NZ_CP009273.1	1319003	1320895	+	1893	195	326	177	248	217	237	123	129	118	138	81	87	372	328
BW25113_RS06610	NZ_CP009273.1	1321109	1321981	+	873	4178	6665	4222	6528	4272	6055	1699	1753	1742	4344	1705	872	3228	3133
BW25113_RS06615	NZ_CP009273.1	1322027	1322614	-	588	267	369	245	317	295	334	385	392	392	682	348	422	704	761
BW25113_RS06620	NZ_CP009273.1	1322614	1323369	-	756	408	511	330	465	366	506	814	726	717	1317	713	817	1308	1226
BW25113_RS06630	NZ_CP009273.1	1323589	1324635	+	1047	1022	1565	837	1198	1020	1302	818	830	726	1265	757	916	1686	1691
BW25113_RS06635	NZ_CP009273.1	1324677	1324925	-	249	1039	1283	838	1077	905	1151	981	994	960	1545	972	1102	1256	1205
BW25113_RS06645	NZ_CP009273.1	1325305	1327899	+	2595	9116	13270	8752	12061	9332	11535	4344	4178	4469	8827	3595	3927	10698	10312
BW25113_RS06650	NZ_CP009273.1	1328112	1329083	+	972	743	1072	677	763	751	939	813	601	670	907	608	859	1836	1768
BW25113_RS06655	NZ_CP009273.1	1329405	1329542	+	138	34	72	42	68	40	57	73	72	72	90	66	80	183	178
BW25113_RS06660	NZ_CP009273.1	1329548	1329712	+	165	64	74	64	69	73	50	86	97	95	79	85	99	220	238
BW25113_RS25560	NZ_CP009273.1	1329829	1329921	+	93	11	23	12	10	13	11	23	12	15	11	13	13	48	35
BW25113_RS06675	NZ_CP009273.1	1330088	1332760	+	2673	414	519	346	469	392	466	852	904	797	1096	588	1285	2380	2250
BW25113_RS06680	NZ_CP009273.1	1332830	1333417	-	588	1491	1922	1286	1609	1315	1666	1241	1038	973	1924	912	997	1758	1700
BW25113_RS06685	NZ_CP009273.1	1333587	1334348	+	762	176	270	135	214	153	220	153	132	142	232	120	147	381	352
BW25113_RS06690	NZ_CP009273.1	1334500	1334805	+	306	320	455	302	428	444	496	350	280	335	433	244	327	770	795
BW25113_RS06695	NZ_CP009273.1	1334815	1335981	+	1167	840	983	692	985	874	983	649	534	646	890	417	690	1490	1469
BW25113_RS06700	NZ_CP009273.1	1336178	1336912	+	735	1460	2206	1327	2040	1500	1919	401	276	348	748	278	241	1464	1407
BW25113_RS06705	NZ_CP009273.1	1336915	1337238	+	324	262	394	209	389	300	327	51	47	63	104	70	32	230	220
BW25113_RS06710	NZ_CP009273.1	1337370	1337585	-	216	86	107	60	74	76	86	89	82	67	83	47	70	237	228
BW25113_RS06715	NZ_CP009273.1	1337857	1338603	-	747	630	828	552	765	692	843	1134	1089	1075	1648	939	1107	1579	1507
BW25113_RS06720	NZ_CP009273.1	1338696	1338866	-	171	106	154	97	137	110	119	137	123	126	149	110	167	272	309
BW25113_RS26115	NZ_CP009273.1	1338904	1339029	+	126	4	3	4	2	3	3	0	2	0	0	1	2	5	4
BW25113_RS06725	NZ_CP009273.1	1339017	1340999	-	1983	298	419	275	397	300	379	214	187	157	240	132	175	720	715
BW25113_RS25050	NZ_CP009273.1	1341053	1341154	+	102	4	15	10	16	9	9	1	1	0	4	3	0	10	9
BW25113_RS06735	NZ_CP009273.1	1341238	1343169	-	1932	5259	8861	5395	7171	5447	7460	2186	1699	2202	4568	2108	1400	4999	4611
BW25113_RS06740	NZ_CP009273.1	1343240	1344364	-	1125	345	599	351	480	365	431	138	100	143	186	106	115	358	351
BW25113_RS06745	NZ_CP009273.1	1344511	1345296	-	786	11608	15306	10451	12842	10649	13575	9748	7212	8358	16311	8685	8767	14296	14364
BW25113_RS06755	NZ_CP009273.1	1345667	1346017	-	351	67	103	72	98	69	79	45	38	47	61	24	30	75	73
BW25113_RS06760	NZ_CP009273.1	1346088	1346891	-	804	602	782	539	805	537	701	405	338	368	757	334	359	678	690
BW25113_RS06765	NZ_CP009273.1	1346896	1347885	-	990	782	1090	620	907	688	969	552	484	559	1131	465	469	945	916
BW25113_RS06770	NZ_CP009273.1	1347888	1348775	-	888	372	542	355	493	321	462	287	222	210	403	149	229	472	477
BW25113_RS06775	NZ_CP009273.1	1348765	1349727	-	963	381	646	373	528	387	549	244	263	230	417	210	280	574	578
BW25113_RS06780	NZ_CP009273.1	1349727	1351367	-	1641	1447	2120	1383	1744	1341	1596	1021	982	1053	1830	788	1099	2302	2445
BW25113_RS06790	NZ_CP009273.1	1351683	1351925	-	243	306	477	304	409	347	435	202	162	201	285	154	193	535	537
BW25113_RS06795	NZ_CP009273.1	1352062	1353444	-	1383	64	63	47	95	66	71	28	27	29	60	23	20	135	131
BW25113_RS25565	NZ_CP009273.1	1353437	1353598	-	162	15	17	6	8	12	5	3	1	2	5	0	2	14	17
BW25113_RS06800	NZ_CP009273.1	1353750	1355165	-	1416	118	148	86	157	99	105	58	39	59	88	44	51	269	242
BW25113_RS06805	NZ_CP009273.1	1355377	1356138	+	762	21	55	23	31	33	38	55	48	32	54	22	38	131	97
BW25113_RS06810	NZ_CP009273.1	1356168	1356722	+	555	64	74	63	104	66	94	85	63	82	80	68	74	183	192
BW25113_RS06815	NZ_CP009273.1	1357000	1358484	+	1485	23	29	15	19	14	27	14	9	27	56	18	22	168	170
BW25113_RS06820	NZ_CP009273.1	1358489	1359766	+	1278	9	20	5	11	11	20	15	13	7	22	16	3	82	79
BW25113_RS06825	NZ_CP009273.1	1359807	1361069	+	1263	24	43	21	35	25	29	44	28	32	51	18	41	122	114
BW25113_RS06830	NZ_CP009273.1	1361195	1362169	-	975	138	174	126	121	126	153	210	217	195	283	173	277	426	442
BW25113_RS06835	NZ_CP009273.1	1362336	1363001	+	666	255	370	220	300	282	348	267	307	268	570	276	409	541	546
BW25113_RS06840	NZ_CP009273.1	1363058	1363279	+	222	32	51	40	44	47	42	36	32	33	74	35	58	70	54
BW25113_RS06845	NZ_CP009273.1	1363282	1363638	+	357	45	54	37	56	54	65	37	48	60	88	38	64	94	122
BW25113_RS06850	NZ_CP009273.1	1363650	1363868	+	219	9	14	9	17	12	14	8	22	20	12	9	22	31	30
BW25113_RS06855	NZ_CP009273.1	1363946	1364257	+	312	192	311	207	278	196	298	2098	1768	1757	2491	1608	2589	1133	943
BW25113_RS06860	NZ_CP009273.1	1364473	1366149	+	1677	31	54	23	40	23	44	360	276	369	380	240	377	244	201
BW25113_RS06865	NZ_CP009273.1	1366166	1367455	+	1290	17	29	13	20	22	22	255	208	232	321	185	324	108	101
BW25113_RS06870	NZ_CP009273.1	1367479	1368357	+	879	16	23	11	12	18	17	144	89	108	126	111	153	69	61
BW25113_RS06875	NZ_CP009273.1	1368347	1369186	+	840	18	16	4	24	2	18	82	39	45	71	49	85	29	50
BW25113_RS06880	NZ_CP009273.1	1369220	1370269	+	1050	43	76	25	43	55	54	153	121	135	132	95	253	133	123
BW25113_RS06885	NZ_CP009273.1	1370291	1371076	+	786	26	45	23	48	23	32	75	67	86	108	67	147	118	109
BW25113_RS06890	NZ_CP009273.1	1371089	1372141	+	1053	57	75	38	37	32	56	111	92	87	96	59	146	117	121
BW25113_RS06895	NZ_CP009273.1	1372141	1374405	+	2265	67	80	56	62	66	64	96	77	100	127	73	170	141	139
BW25113_RS06900	NZ_CP009273.1	1374405	1375061	+	657	7	11	5	9	10	14	18	10	15	24	10	18	21	18
BW25113_RS06905	NZ_CP009273.1	1375078	1376156	+	1079	10	8	2	14	16	9	11	7	12	17	5	11	25	24
BW25113_RS06910	NZ_CP009273.1	1376204	1377106	+	903	2	3	6	3	4	9	2	1	1	3	3	1	7	17
BW25113_RS06915	NZ_CP009273.1	1377223	1378218	-	996	223	357	222	299	232	329	231	188	211	313	199	239	514	475
BW25113_RS06920	NZ_CP009273.1	1378374	1379768	+	1395	335	450	254	363	286	454	401	423	513	689	383	808	1842	1828
BW25113_RS06925	NZ_CP009273.1	1379768	1380826	+	1059	155	312	147	210	175	177	183	181	243	300	170	396	1027	1078
BW25113_RS06930	NZ_CP009273.1	1380977	1382515	+	1539	2086	3028	1856	2731	2054	2723	1720	1546	1563	3225	1387	1854	3473	3224
BW25113_RS06935	NZ_CP009273.1	1382565	1383068	-	504	1289	1325	1014	1212	1301	1444	2440	2014	1804	2563	1677	2785	4821	4428
BW25113_RS06940	NZ_CP009273.1	1383187	1384149	+	963	443	635	354	570	398	572	295	296	317	510	241	318	658	681
BW25113_RS06945	NZ_CP009273.1	1384130	1384855	-	726	433	571	365	423	382	539	750	616	659	1138	564	860	935	981
BW25113_RS06950	NZ_CP009273.1	1384985	1385119	-	135	15	17	15	17	12	9	30	45	34	36	29	26	46	25
BW25113_RS06955	NZ_CP009273.1	1385193	1386110	-	918	34	72	46	44	51	56	67	77	60	82	75	95	123	127
BW25113_RS06960	NZ_CP009273.1	1386248	1387144	+	897	182	237	136	194	153	156	164	154	153	207	107	166	356	332
BW25113_RS06970	NZ_CP009273.1	1387484	1389094	+	1611	719	1071	711	932	734	988	2626	2176	2427	4076	2240	2493	1990	1877
BW25113_RS06975	NZ_CP009273.1	1389151	1390179	-	1029	355	479	308	373	249	315	372	291	362	532	364	336	744	718
BW25113_RS06980	NZ_CP009273.1	1390369	1391346	+	978	1170	1638	1048	1388	1036	1489	1788	1549	1644	2619	1648	2340	1733	1668
BW25113_RS06985	NZ_CP009273.1	1391622	1391876	+	255	160	240	141	220	177	210	306	291	268	322	293	338	572	524
BW25113_RS06990	NZ_CP009273.1	1391932	1392879	-	948	1445	2058	1128	1600	1257	1532	5009	4831	4465	5411	3902	6533	7305	6433
BW25113_RS06995	NZ_CP009273.1	1393034	1393783	-	750	3203	3600	2639	3254	2935	3326	1782	1406	1728	3009	1483	1410	4491	4360
BW25113_RS07000	NZ_CP009273.1	1393981	1394493	-	513	211	295	153	210	183	241	221	187	199	328	198	282	417	393
